time_step,i,j,seed_0,mean_margin,std_margin
1620,0,1,0.773158073425293,0.773158073425293,0.0
1630,0,1,0.773158073425293,0.773158073425293,0.0
1640,0,1,0.773158073425293,0.773158073425293,0.0
1650,0,1,0.773158073425293,0.773158073425293,0.0
1660,0,1,0.773158073425293,0.773158073425293,0.0
1670,0,1,0.773158073425293,0.773158073425293,0.0
1680,0,1,0.773158073425293,0.773158073425293,0.0
1690,0,1,0.773158073425293,0.773158073425293,0.0
1700,0,1,0.773158073425293,0.773158073425293,0.0
1710,0,1,0.773158073425293,0.773158073425293,0.0
1720,0,1,0.773158073425293,0.773158073425293,0.0
1730,0,1,0.773158073425293,0.773158073425293,0.0
1740,0,1,0.773158073425293,0.773158073425293,0.0
1750,0,1,0.773158073425293,0.773158073425293,0.0
1760,0,1,0.773158073425293,0.773158073425293,0.0
1770,0,1,0.773158073425293,0.773158073425293,0.0
1780,0,1,0.773158073425293,0.773158073425293,0.0
1790,0,1,0.773158073425293,0.773158073425293,0.0
1800,0,1,0.773158073425293,0.773158073425293,0.0
1810,0,1,0.773158073425293,0.773158073425293,0.0
1820,0,1,0.773158073425293,0.773158073425293,0.0
1830,0,1,0.773158073425293,0.773158073425293,0.0
1840,0,1,0.773158073425293,0.773158073425293,0.0
1850,0,1,0.773158073425293,0.773158073425293,0.0
1860,0,1,0.773158073425293,0.773158073425293,0.0
1870,0,1,0.773158073425293,0.773158073425293,0.0
1880,0,1,0.773158073425293,0.773158073425293,0.0
1890,0,1,0.773158073425293,0.773158073425293,0.0
1900,0,1,0.773158073425293,0.773158073425293,0.0
1910,0,1,0.773158073425293,0.773158073425293,0.0
1920,0,1,0.773158073425293,0.773158073425293,0.0
1930,0,1,0.773158073425293,0.773158073425293,0.0
1940,0,1,0.773158073425293,0.773158073425293,0.0
1950,0,1,0.773158073425293,0.773158073425293,0.0
1960,0,1,0.773158073425293,0.773158073425293,0.0
1970,0,1,0.773158073425293,0.773158073425293,0.0
1980,0,1,0.773158073425293,0.773158073425293,0.0
1990,0,1,0.773158073425293,0.773158073425293,0.0
0,0,2,0.00926399976015091,0.00926399976015091,0.0
10,0,2,0.028372744098305702,0.028372744098305702,0.0
20,0,2,0.05502225086092949,0.05502225086092949,0.0
30,0,2,0.06621883809566498,0.06621883809566498,0.0
40,0,2,0.0866163969039917,0.0866163969039917,0.0
50,0,2,0.0952582135796547,0.0952582135796547,0.0
60,0,2,0.09465251117944717,0.09465251117944717,0.0
70,0,2,0.08942435681819916,0.08942435681819916,0.0
80,0,2,0.08789107948541641,0.08789107948541641,0.0
90,0,2,0.11798472702503204,0.11798472702503204,0.0
100,0,2,0.14146795868873596,0.14146795868873596,0.0
110,0,2,0.16292406618595123,0.16292406618595123,0.0
120,0,2,0.17263439297676086,0.17263439297676086,0.0
130,0,2,0.202292799949646,0.202292799949646,0.0
140,0,2,0.20392805337905884,0.20392805337905884,0.0
150,0,2,0.24546675384044647,0.24546675384044647,0.0
160,0,2,0.26700666546821594,0.26700666546821594,0.0
170,0,2,0.29246416687965393,0.29246416687965393,0.0
180,0,2,0.29124897718429565,0.29124897718429565,0.0
190,0,2,0.2913212776184082,0.2913212776184082,0.0
200,0,2,0.36357447504997253,0.36357447504997253,0.0
210,0,2,0.38911980390548706,0.38911980390548706,0.0
220,0,2,0.4166664183139801,0.4166664183139801,0.0
230,0,2,0.4451826214790344,0.4451826214790344,0.0
240,0,2,0.4267318546772003,0.4267318546772003,0.0
250,0,2,0.5062267780303955,0.5062267780303955,0.0
260,0,2,0.5214191675186157,0.5214191675186157,0.0
270,0,2,0.5488640069961548,0.5488640069961548,0.0
280,0,2,0.5283713936805725,0.5283713936805725,0.0
290,0,2,0.5418561697006226,0.5418561697006226,0.0
300,0,2,0.5643843412399292,0.5643843412399292,0.0
310,0,2,0.5781499147415161,0.5781499147415161,0.0
320,0,2,0.5799638032913208,0.5799638032913208,0.0
330,0,2,0.6099247932434082,0.6099247932434082,0.0
340,0,2,0.6540568470954895,0.6540568470954895,0.0
350,0,2,0.6678560376167297,0.6678560376167297,0.0
360,0,2,0.67451012134552,0.67451012134552,0.0
370,0,2,0.7124121785163879,0.7124121785163879,0.0
380,0,2,0.7640173435211182,0.7640173435211182,0.0
390,0,2,0.7995747923851013,0.7995747923851013,0.0
400,0,2,0.8024855852127075,0.8024855852127075,0.0
410,0,2,0.8338111042976379,0.8338111042976379,0.0
420,0,2,0.8336801528930664,0.8336801528930664,0.0
430,0,2,0.7794479131698608,0.7794479131698608,0.0
440,0,2,0.7998245358467102,0.7998245358467102,0.0
